_record_id,_server_updated_at,_project,_updated_by,_geometry,_latitude,_longitude,country,prospect,trenches,trench_code,sample_id,sample_id_read,altitude,easting,northing,gps_altitude,sample_type,sample_cat,sampling_method,qc_cat,standard_id,sample_cond,orig_grid_id,survey_method,survey_date,sampled_by,company,batch,photos,rock_type,rock_subtype,rock_subtype_old,unit,igneous_txt,intrusive_extrusive,phaneritic,porphyritic,fragfmentals,f_less_2mm,m_btw_2mm_64mm,c_more_64mm,clast_supported,matrix_supported,other,igneous_geom,sedimentary,no_clastic,clastic,mud,sand,gravel,int_clast_noclast,metamorphic,re_crystalized,foliated,alter_type,alter_int,alteration_minerals,min_type,minerals,min_occur,type,azimuth,dip,structhk,joint_int,fill_mineral,description
9ef9a58d-cc36-4f36-8c93-297a5000dd69,2024-08-16 21:58:28 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3324015 -16.7909763),-16.7909763,-70.3324015,Perú,Vizcachas,,,,474072,,358006,8143081,4982,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-12,M.M.,Goldfields,,"474072,474072-1",Bx: Breccia,,,,,,,,,,,,,"BMPI: Matrix Supported, Polymictic - Igneous",,,,,,,,,,,,,AA: Advanced argillic,4: Strong Alteration,,sp: Sulphides,,DIS: Disseminated,,,,,,,"Bx Hidrotermal con alt sil-kao+/-alunita, py fin diss "
8e0ec641-f4ac-4315-a3f9-74c49379ef04,2024-08-16 21:58:30 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3302281 -16.7912473),-16.7912473,-70.3302281,Perú,Vizcachas,,,,474073,,358239,8143064,5070,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,,ORIG: Original,,,WGS84-19S,,2024-08-13,M.M.,Goldfields,,"474073,474073-1",,,,,,,,,,,,,,,,,,,,,,,,,,,AA: Advanced argillic,4: Strong Alteration,,,,,,,,,,,"Bx hid con alt arg++, sil opalina, cz hialinp druzas, OXsFe en cav y frac."
eb8daa63-ec12-4538-9948-70dd56160b07,2024-08-16 21:58:35 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3514954 -16.7930956),-16.7930956,-70.3514954,Perú,Vizcachas,,,,474074,,355975,8142844,4983,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-14,M.M.,Goldfields,,"474074,474074-1",VR: Volcaniclastic rock,,,,,,,,,,,,,,,LAV: Lava,,,,,,,,,,,SC: Silica clay,3: Moderate Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"And con tx brechada con alt silice-clay, OXsFe en cav y frac."
120deee9-fc05-464f-a8ed-44208f170027,2024-08-16 21:59:55 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3497306 -16.7987664),-16.7987664,-70.3497306,Perú,Vizcachas,,,,474075,,356169,8142216,4891,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-14,M.M.,Goldfields,,"474075,474075-1,474075-2,474075-3",VR: Volcaniclastic rock,,,,,,,,,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,SC: Silica clay,3: Moderate Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"toba de xls con liticos de comp dacitica con alt silice-clay, OXsFe "
fd530407-c5f1-47ec-93c8-96cea28dba5e,2024-08-16 22:03:08 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3496676 -16.8021417),-16.8021417,-70.3496676,Perú,Vizcachas,,,,474076,,356180,8141847,4871,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-14,M.M.,Goldfields,,"474076,474076-1,474076-2",VR: Volcaniclastic rock,,,,,,,,,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",2: Weak Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"Toba de xls con liticos, alt arg, kao, levemente silicificada, OXsFe en frac y cav"
7b489dab-f456-4ecf-ac7e-ede2422ce935,2024-08-16 22:06:39 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3496676 -16.802149),-16.802149,-70.3496676,Perú,Vizcachas,,,,474077,,,,,,RK: Rock,,D: Duplicated,,,,,2024-08-14,M.M.,Goldfields,,"474077,474077-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duplicada M-474076
33382ae4-8a47-4391-b6a9-c4ffbf278a97,2024-08-16 22:10:01 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3508426 -16.802809),-16.802809,-70.3508426,Perú,Vizcachas,,,,474078,,356052,8141766,4874,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-14,M.M.,Goldfields,,"474078,474078-1,474078-2",VR: Volcaniclastic rock,,,,,,,,,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,SC: Silica clay,2: Weak Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"toba de xls con liticos de comp dacitica, con alt argilica, roca con debil silicificacion, OXsFe en frac y cav."
92c0f586-1ef1-4fff-bdbb-1163f0b07ae0,2024-08-16 22:11:01 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3510612 -16.8032956),-16.8032956,-70.3510612,Perú,Vizcachas,,,,474079,,356029,8141712,4869,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-14,M.M.,Goldfields,,"474079,474079-1",VR: Volcaniclastic rock,,,,,,,,,,,,,,,VD: Volcaniclastic Deposits,,,,,,,,,,,SC: Silica clay,3: Moderate Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"toba de xls con liticos con alt silice-clay moderada, OXsFe en frac, vnlls cm de cz- OXsFe "
73218d49-291d-4c16-98eb-697ad1d952f8,2024-08-16 22:16:46 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3529628 -16.7905838),-16.7905838,-70.3529628,Perú,Vizcachas,,,,474080,,355805,8143128,5180,RCH (ROCK): Channel - Surface,RK: Rock,CH: Channel Sampled,ORIG: Original,,,WGS84-19S,,2024-08-15,M.M.,Goldfields,,"474080,474080-1",,,,,,,,,,,,,,,,,,,,,,,,,,,OP: Opaline silica,4: Strong Alteration,,ox: Oxides,,VLT: Veinlets,,,,,,,"Estructura de cz opalino con OXsFe, Estructura de 10cm de pot. Roca caja and de tx brechada"
e2c3b1cc-cd42-43ca-ac7d-099582eb1591,2024-08-16 22:17:17 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3459546 -16.791046),-16.791046,-70.3459546,Perú,Vizcachas,,,,474081,,356564,8143074,5109,RCH (ROCK): Channel - Surface,RK: Rock,CH: Channel Sampled,ORIG: Original,,,WGS84-19S,,2024-08-15,M.M.,Goldfields,,"474081,474081-1,474081-2",IR: Igneous rock,,,,Fragmental,,,,,,,,,,,LAV: Lava,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",3: Moderate Alteration,,mx: Mixed,,DIS: Disseminated,Bx = Breccia,10,70,,,,"Roca de tx brechada con alt arg +/- sil, OXsFe en las frac"
5d905aeb-0ee2-4329-8679-a0f5ec0752c7,2024-08-16 22:21:41 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3475488 -16.793042),-16.793042,-70.3475488,Perú,Vizcachas,,,,474082,,356396,8142850,5065,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-15,M.M.,Goldfields,,"474082,474082-1",IR: Igneous rock,,,,Fragmental,,,,,,,,,,,LAV: Lava,,,,,,,,,,,,,,,,,,,,,,,"Roca con tx brechada con alt cz--kao, trz aln,py diss en la mtx 1%, frac rell de OxFe, goe+, jar"
841d17bc-d87f-413d-8a8e-bbb70c35f788,2024-08-16 22:27:26 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3316542 -16.7944129),-16.7944129,-70.3316542,Perú,Vizcachas,,,,474083,,358071,8142715,5026,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-16,M.M.,Goldfields,,"474083,474083-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"autobrecha de comp and, con alt arg kao+/-ser, OXsFe en Fracturas "
89876250-fafc-4166-a35c-e6ec9f57ac16,2024-08-16 22:32:34 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3740882 -16.8853015),-16.8853015,-70.3740882,Perú,Vizcachas,,,,474084,,,,,,,,ST: Standard,OREAS 153b,,,,2024-08-16,M.M.,Goldfields,,474084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standar Alto OREAS 153b
51465de8-1695-4140-b3b3-38d63d3ac464,2024-08-16 22:39:19 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3468438 -16.7991521),-16.7991521,-70.3468438,Perú,Vizcachas,,,,474085,,356471,8142175,5057,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-16,M.M.,Goldfields,,"474085,474085-1",IR: Igneous rock,,,,Fragmental,,,,,,,,,,,LAV: Lava,,,,,,,,,,,SV: Vuggy silica,4: Strong Alteration,,ox: Oxides,,DIS: Disseminated,,,,,,,"Roca de tx obliterada con alt silice-clay, OXsFe  en oquedades "
33531e60-d4d5-41e7-acb2-82a6495ffcc2,2024-08-17 12:37:32 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3635666 -16.7975784),-16.7975784,-70.3635666,Perú,Vizcachas,,,,474086,,354695,8142342,4918,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-17,M.M.,Goldfields,,"474086,474086-1",IR: Igneous rock,,,,Fragmental,,,,,,,,,,,LAV: Lava,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",3: Moderate Alteration,,ox: Oxides,,FRC: Fracture Controlled,,,,,,,"Roca de tx obliterada and? , roca fragmental, Alt sil- kao+/- ser, OXsFe en frac y cav, lim, inyección de sil calcedonica."
728ae657-0772-496f-bd0a-e993d9a63696,2024-08-17 12:37:33 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.36545 -16.7981398),-16.7981398,-70.36545,Perú,Baulani,,,,474088,,354492,8142274,5025,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-17,M.M.,Goldfields,,474088,,,,,,,,,,,,,,,,,,,,,,,,,,,CHL: Chloritic,1: Trace Alteration (trace primary rock structures),,mx: Mixed,,DIS: Disseminated,JM = Mineralized Joint,350,70,,,OXsFe ,"And de tx por fina con incipiente alt CLOs, py finamente diss 2%, magnetismo moderado, OXsFe en frac, goe++lim."
4afedf45-ee25-4ea8-bda9-57bd335024f0,2024-08-17 12:37:33 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3675489 -16.7985951),-16.7985951,-70.3675489,Perú,Vizcachas,,,,474089,,354267,8142224,5102,RC (ROCK): Rock Chip - Surface Outcrop,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-17,M.M.,Goldfields,,"474089,474089-1",IR: Igneous rock,,,,Fragmental,,,,,,,,,,,LAV: Lava,,,,,,,,,,,"ARG: Argillic, Clays(Kao, Mon)",1: Trace Alteration (trace primary rock structures),,ox: Oxides,,Bx: Breccia,Bx = Breccia,30,80,,,OXsFe ,"Brecha con fragmentos de and de tx por, mtx de OXsFe, fragmentos débilmente CLOs "
824ea936-b2eb-4563-b1d3-eb3836b9be0f,2024-08-17 11:52:14 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3656408 -16.7982405),-16.7982405,-70.3656408,Perú,Vizcachas,,,,474096,,,,,,RK: Rock,CS: Chip Sample,ORIG: Original,,,WGS84-19S,,2024-08-17,M.M.,Goldfields,,474096,,,,,,,,,,,,,,,,,,,,,,,,,,,SM: massive silica,4: Strong Alteration,,mx: Mixed,,DIS: Disseminated,,,,,,,"Brecha con mtx de sil-py, fragmentos ángulos a subangulolosos heterometricos polimicticos"
d44bb803-c0d6-4ac9-aa75-bbb0f38fa46c,2024-08-17 11:53:38 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3656533 -16.7982382),-16.7982382,-70.3656533,Perú,Vizcachas,,,,474097,,,,,,,,D: Duplicated,,,,,2024-08-17,,,,474097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duplicada M- 474096
74b4b3a3-3c78-4433-acde-d7dcfca7c270,2024-08-17 12:37:32 -05,Vizcachas,Edgar Camizán,SRID=4326;POINT(-70.3635789 -16.7975824),-16.7975824,-70.3635789,Perú,Vizcachas,,,,474087,,,,,,,,BLANK: Blank,TR-18137,,,,2024-08-17,M.M.,Goldfields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muestra  Blanca
